27521,21941,21666,15317,9807,3920,2629
5777,5114,5073,8484,30552,6257,4057
280,262,212,231,193,128,241
198155,187646,184975,176334,187869,196162,190182
32043,34309,37658,35612,36068,34238,41417
23,12,12,5,18,11,8
36327,33862,33668,52305,27497,32750,34657
9655,8713,5673,2823,2662,2303,2407
39001,39312,45647,47037,47514,46678,42146
69355,124657,171876,90547,102104,103636,82330
67898,67610,69472,70575,64962,69229,63881
15863,16484,18202,21322,22087,9913,24287
32050,48733,29101,29302,31015,27091,24801
1600,1699,1341,1175,1034,929,916
43,32,37,30,43,31,33
2,2,6,5,0,2,2
60,52,42,34,23,3996,1604
28,20,24,26,33,63,21
7601,8408,13563,7480,8898,7792,5543
55,60,89,134,77,77,67
86666,84485,72368,66602,77113,78548,83142
4496,4360,4286,4772,3794,3872,4761
10509,15559,11454,11310,11956,8568,6815
4,2,5,3,4,1,4
21040,22023,17383,16221,17244,18418,18749
591,751,1211,604,530,520,409
108825,102904,61492,35933,35346,34145,35877
101395,98815,114073,131596,155641,142397,138480
23662,29501,30043,83169,53889,48035,38823
3980,8206,11488,3931,1549,2202,1765
17963,14861,15346,16978,16165,19002,18228
108871,112617,189615,215426,97217,58165,68739
19198,9209,3988,2640,2279,1587,3051
25819,20727,32128,57298,32124,38670,42063
342,326,263,278,293,285,274
59825,61498,74834,87371,91701,92535,124440
728241,741839,786664,827403,823570,898467,945860
23615,21627,17407,25583,22856,22105,25246
3,3,3,0,2,2,4
5000,3963,4222,4265,3783,4091,4182
17666,18093,16403,14329,14983,15373,16736
3308946,2751099,2656819,2758286,2806775,2888631,3143351
4729,4146,3986,4448,4772,3917,2577
1416,1442,2176,3052,1894,1737,1912
20815,19617,19342,19535,22382,32540,22960
39325,32565,34219,28985,25571,20602,20425
2,2,2,2,2,2,0
48738,49486,46012,48556,54766,59557,29420
177090,219512,106561,120841,133867,103014,90175
2353,1581,2927,4837,2568,1553,2657
3304684,3440689,2180243,278670,188569,72853,12
3810,5478,5559,5219,4981,5570,7014
47303,47801,49655,50128,50383,49435,37955
55825,77901,36142,46292,1078,16995,14
148043,159881,148822,154417,174557,169735,128367
19808,30860,44203,23252,29724,27688,22538
14656,5926,8915,5126,4654,3191,2642
233,230,204,184,208,205,212
94439,114123,48320,45256,45308,38001,35059
5139,5213,8232,10371,8610,4356,8270
305,407,263,379,365,337,115
4,2,0,0,2,0,0
11206,31717,22904,21102,16608,16178,13557
50362,78721,69017,32538,31141,28290,29859
6787,1113,677,241,275,344,182
25147,23668,21801,21173,14923,23549,18643
1,0,0,0,0,0,0
187041,210112,215511,207206,221537,212076,184402
27119,28894,29384,28313,25167,18510,34714
596,1188,587,690,704,567,516
2,0,2,4,5,3,0
75921,28847,27370,27597,8276,6114,7883
210,33,85,59,127,16,64
82,81,77,74,87,78,86
4938,5340,4919,5018,5621,6687,2979
10428,10538,10877,12114,22587,13494,12498
0,0,0,1,0,2,0
3298,2669,3210,2635,2565,3837,3451
52749,61593,64287,64019,63289,66020,55638
65098,117543,55673,56636,66934,56683,57285
158937,176396,184638,171453,186553,205879,147679
49935,34589,39305,41142,39722,39598,49148
33956,39287,20733,17071,25002,16186,12737
11683,11524,10582,10601,10377,11087,11197
29,14,9,9,11,10,11
