30355,14786,13021,14197,3667,3206,1705
13762,26786,10091,11481,14467,6146,2016
75074,18623,13598,5514,2130,1453,2366
218414,130948,38626,19400,13814,13746,5273
21227,15870,10427,16687,4394,1622,1480
181452,79576,56034,48529,40788,35333,48587
135383,153582,104935,95053,92458,71780,31868
27341,10908,6342,2147,1092,664,421
94,43,33,17,3,0,0
6312,11566,2681,3014,2655,2229,3224
175534,39672,34662,17693,18127,14773,10945
52035,14876,11815,25104,19011,26193,18511
135039,943241,17949,13259,10526,8082,6030
29557,5467,3455,2263,1416,550,381
11650,9574,10834,10211,6417,8801,8686
39924,12224,42475,7865,5575,10429,5173
84144,25212,9016,5687,4033,2441,2347
39050,17155,9557,7903,6462,4935,3181
15986,3776,2153,3142,2669,2966,3232
0,0,0,0,0,0,0
14467,4678,2738,1279,1007,850,443
60524,8560,2264,644,358,389,264
28640,8333,5065,6549,1467,657,513
24337,11639,2696,1972,1123,1362,966
873750,204528,93403,41685,25502,27189,14436
43663,12129,12937,5993,2011,2608,1625
2,0,0,0,0,0,0
53470,16027,7070,4325,2349,1410,1054
159343,33232,18084,13470,7286,7192,7589
27306,5217,2910,2088,2142,1390,700
10517,4256,4376,1617,989,542,230
461624,77466,42529,36025,22803,23125,17750
86411,16185,8707,6282,3676,4044,2840
114959,67588,61185,55562,37502,24124,18243
72430,13752,26538,16993,12426,12037,1636
242093,24709,6948,3443,3179,2586,1723
28715,1967,3468,3305,3144,2241,1145
650020,114338,76815,48808,36803,26868,13169
13571,5107,2962,3027,3533,2339,2629
488739,267357,203094,141214,101995,80099,64024
10,4,0,1,0,4,1
112941,36956,21612,8059,5682,3626,2549
495,98,74,66,58,77,67
23476,9141,5262,7499,2288,5313,5731
57613,10498,7795,4839,5557,4530,3601
43581,34426,20488,6025,3861,6572,5016
18929,11757,1898,1415,1591,1504,765
36821,11565,3717,2927,3283,3984,1973
55434,7773,3592,1312,2757,858,1006
1681439,430623,90880,79005,66473,39836,17305
834205,336081,183797,130783,213590,299250,219085
102076,15241,7001,3337,2643,1317,2207
621291,208946,130485,99522,149656,117753,132389
113953,117054,45581,22335,17067,16708,23018
49,13,10,4,6,4,0
7871,4270,4419,2118,1079,267,161
2265151,743123,1182060,1043967,344946,212818,152274
90948,50050,43684,25033,17814,16007,11058
37048,7876,4850,3229,2060,1473,1145
105092,28582,18821,25340,16232,5998,5820
335701,61507,48779,17542,10937,8074,6438
246065,95565,98449,52572,36290,19955,25801
136,20,12,21,38,41,81
14254,13630,12499,12401,10669,7454,8825
129056,23372,6170,3499,5506,1531,1190
123676,57057,50538,61148,27579,47297,31472
1,0,2,0,0,1,0
82628,18141,19365,8483,9070,8768,4046
164290,34478,14100,6040,5511,2619,2889
1513892,440320,296046,226079,165267,124239,145462
33996,9046,2992,3066,1969,1450,1481
11137,6622,4581,4209,3371,4605,3114
11129,6896,4305,5144,4052,3946,1724
28362,8396,4757,9688,6808,5848,2481
496418,170715,75761,66340,59716,61208,33962
546369,137849,64953,60801,56161,37398,22619
124851,116108,55876,91115,39136,51857,57873
391520,215842,86697,55141,48314,53776,40065
235511,91825,50590,36200,111648,102659,83180
319810,181312,120791,68374,91173,57708,35677
23072,2732,2775,2199,468,409,560
176807,38642,28150,11503,16436,15706,8538
